occupation_id,category,specialty,nhs_band
506,Medical & Dental,Breast Surgery,Consultant
507,Medical & Dental,Neuromuscular Disease,
508,Medical & Dental,Neurosurgery,
509,Medical & Dental,Acute Medicine / Education,Doctor - Other
510,Medical & Dental,Therapy Services,
511,Medical & Dental,Dispensing,2
512,Medical & Dental,Networked Services,Doctor - Other
513,Medical & Dental,community paediatrics,
514,Medical & Dental,GP Practice,
515,Medical & Dental,Hull,Specialty Registrar
516,Medical & Dental,Spinal Surgery,Consultant
517,Medical & Dental,Obs & Gynae,Specialty Registrar
518,Medical & Dental,Pain management,
519,Medical & Dental,Renal Medicine,Specialty Registrar
520,Medical & Dental,Psychotherapy,Consultant
521,Medical & Dental,Consultant Care Of The Elderly,Consultant
522,Medical & Dental,Neuroanaesthesia,
523,Medical & Dental,Neonates,Doctor - Other
524,Medical & Dental,Medicine,Foundation Doctor
525,Medical & Dental,Regional anaesthesia,
526,Medical & Dental,Palliative Care,Consultant
527,Medical & Dental,Paediatric Cardiology,
528,Medical & Dental,Urogynaecology,
529,Medical & Dental,General Surgery & Cancer,Consultant
530,Medical & Dental,Rheumatology,Doctor - Other
531,Medical & Dental,Head & Neck,
532,Medical & Dental,Breast,
533,Medical & Dental,Gynaecology,Specialty Doctor
534,Medical & Dental,General Psychiatry,Consultant
535,Medical & Dental,Plastic & Reconstructive Surgery,Specialty Registrar
536,Medical & Dental,Consultant in Ophthalmology with a specialist interest in Medical Retina and Vitreoretinal Surgery,Consultant
537,Medical & Dental,Older Persons Mental Health Psychiatry,Consultant
538,Medical & Dental,Psychiatry of Learning Disability,Consultant
539,Medical & Dental,Acute Assessment Unit,
540,Medical & Dental,Frailty,
541,Medical & Dental,General Paediatrics,Consultant
542,Medical & Dental,ENT Surgery,Doctor - Other
543,Medical & Dental,Sport & Exercise Medicine,Consultant
544,Medical & Dental,Respiratory Medicine,Doctor - Other
545,Medical & Dental,ENT,Doctor - Other
546,Medical & Dental,Flexible,Specialty Registrar
547,Medical & Dental,Obsterics and Gynaecology,Consultant
548,Medical & Dental,Trauma and Orthopaedic Surgery,Consultant
549,Medical & Dental,Orthopaedics,Doctor - Other
550,Medical & Dental,anaesthesia burns and plastics,
