salary_id,minimum_salary,maximum_salary,salary_type,pay_band
1402,95000.0,105000.0,YEAR,Doctor - Other
1403,67407.0,79181.0,YEAR,
1404,108000.0,110000.0,YEAR,
1405,29851.0,29851.0,YEAR,Foundation Doctor
1406,40097.0,50237.0,YEAR,Specialty Registrar
1407,14288.0,15129.0,YEAR,
1408,88000.0,88000.0,YEAR,Specialty Doctor
1409,31841.0,36511.0,YEAR,
1410,27689.0,27689.0,YEAR,Foundation Doctor
1411,48085.0,48085.0,YEAR,Doctor - Other
1412,31841.0,40141.0,YEAR,
1413,24490.0,24490.0,YEAR,
1414,37923.0,70719.0,YEAR,Doctor - Other
1415,79860.0,107668.0,YEAR,Specialty Doctor
1416,33221.0,50068.0,YEAR,Specialty Registrar
1417,39060.0,62593.0,YEAR,Doctor - Other
1418,95626.0,95626.0,YEAR,
1419,40037.0,76823.0,YEAR,Specialty Doctor
1420,38156.0,50068.0,YEAR,Specialty Doctor
1421,31841.0,41126.0,YEAR,
1422,29798.0,33695.0,YEAR,Doctor - Other
1423,200.0,200.0,YEAR,Specialty Doctor
1424,135000.0,135000.0,YEAR,Consultant
1425,32050.0,32050.0,YEAR,Doctor - Other
1426,39865.0,50577.0,YEAR,
1427,70000.0,70000.0,YEAR,Doctor - Other
1428,79880.0,107668.0,YEAR,
1429,36511.0,50086.0,YEAR,Specialty Registrar
1430,49097.0,49097.0,YEAR,Specialty Registrar
1431,40037.0,74661.0,YEAR,Specialty Registrar
1432,9271.0,9271.0,YEAR,
1433,31746.0,41489.0,YEAR,
1434,20031.0,32050.0,YEAR,Foundation Doctor
1435,80000.0,85000.0,YEAR,Consultant
1436,36224.0,46315.0,YEAR,7
1437,37190.0,47132.0,YEAR,Doctor - Other
1438,39332.0,45534.0,YEAR,7
1439,17652.0,17652.0,YEAR,2
1440,31841.0,50086.0,YEAR,Specialty Doctor
1441,75000.0,85000.0,YEAR,
1442,45000.0,55000.0,YEAR,
1443,76860.0,107668.0,YEAR,Consultant
1444,31841.0,48082.0,YEAR,Doctor - Other
1445,79060.0,107668.0,YEAR,Consultant
1446,56133.0,92401.0,YEAR,Doctor - Other
1447,37570.0,50819.0,YEAR,7
1448,48075.0,50068.0,YEAR,Doctor - Other
1449,34212.0,34212.0,YEAR,Foundation Doctor
1450,39000.0,41000.0,YEAR,7
1451,32029.0,59728.0,YEAR,Specialty Doctor
1452,90000.0,102000.0,YEAR,Doctor - Other
1453,45500.0,45500.0,YEAR,8b
1454,85000.0,115000.0,YEAR,
1455,37267.0,37267.0,YEAR,6
1456,15381.0,15381.0,YEAR,
1457,,,,8c
1458,117670.0,117670.0,YEAR,
1459,100709.0,100709.0,YEAR,
1460,19112.0,23903.0,YEAR,
1461,29798.0,336954.0,YEAR,Foundation Doctor
1462,89378.0,89378.0,YEAR,Consultant
1463,60000.0,88744.0,YEAR,Doctor - Other
1464,32199.0,32199.0,YEAR,Foundation Doctor
1465,95000.0,95000.0,YEAR,Specialty Doctor
1466,38156.0,50068.0,YEAR,
1467,77860.0,107668.0,YEAR,
1468,40141.0,42126.0,YEAR,
1469,58808.0,88744.0,YEAR,Doctor - Other
1470,31998.0,42333.0,YEAR,Specialty Registrar
1471,121754.0,121754.0,YEAR,
1472,31841.0,33790.0,YEAR,Doctor - Other
1473,58808.0,88744.0,YEAR,
1474,31841.0,38156.0,YEAR,Doctor - Other
1475,4126.0,31841.0,YEAR,Specialty Registrar
1476,7000.0,9000.0,YEAR,
1477,3000.0,37935.0,YEAR,
1478,190.0,200.0,YEAR,Doctor - Other
1479,1426.0,1426.0,YEAR,Doctor - Other
1480,42499.0,76823.0,YEAR,Specialty Doctor
1481,31998.0,50314.0,YEAR,Doctor - Other
1482,22000.0,28000.0,YEAR,
1483,90000.0,110000.0,YEAR,Consultant
1484,48075.0,48075.0,YEAR,Consultant
1485,79086.0,107668.0,YEAR,Consultant
1486,40232.0,75023.0,YEAR,
1487,63037.0,117670.0,YEAR,
1488,19552.0,19552.0,YEAR,
1489,100977.0,100977.0,YEAR,Consultant
1490,32050.0,37935.0,YEAR,Doctor - Other
1491,40037.0,67659.0,YEAR,Specialty Doctor
1492,31998.0,42333.0,YEAR,Doctor - Other
1493,31841.0,50069.0,YEAR,
1494,46746.0,47132.0,YEAR,Specialty Doctor
1495,79860.0,107669.0,YEAR,Consultant
1496,50068.0,50068.0,YEAR,
1497,5000.0,45000.0,YEAR,8a
1498,31841.0,42146.0,YEAR,
1499,89378.0,89378.0,YEAR,
1500,15969.0,15969.0,YEAR,
1501,31841.0,40141.0,YEAR,Specialty Registrar
1502,25928.0,27922.0,YEAR,
1503,31814.0,50068.0,YEAR,Specialty Registrar
1504,31841.0,50086.0,YEAR,Doctor - Other
1505,35700.0,35700.0,YEAR,8a
1506,48075.0,379352.0,YEAR,Specialty Registrar
1507,48075.0,48075.0,YEAR,Foundation Doctor
1508,10086.0,11767.0,YEAR,
1509,31998.0,42333.0,YEAR,
1510,81000.0,187714.0,YEAR,
1511,31841.0,42126.0,YEAR,Foundation Doctor
1512,56133.0,107668.0,YEAR,
1513,37570.0,43041.0,YEAR,7
1514,37500.0,37500.0,YEAR,
1515,78860.0,107668.0,YEAR,Consultant
1516,75000.0,85000.0,YEAR,8c
1517,50000.0,50000.0,YEAR,8b
1518,29798.0,33695.0,YEAR,
1519,79860.0,79860.0,YEAR,Doctor - Other
1520,63189.0,72123.0,YEAR,Doctor - Other
1521,60257.0,90928.0,YEAR,Doctor - Other
1522,79960.0,107668.0,YEAR,Consultant
1523,92455.0,92455.0,YEAR,
1524,40037.0,74661.0,YEAR,Consultant
1525,8756.0,8756.0,YEAR,
1526,40232.0,75023.0,YEAR,Specialty Doctor
1527,37935.0,48975.0,YEAR,Specialty Doctor
1528,73936.0,107668.0,YEAR,8d
1529,1331.0,1331.0,YEAR,Doctor - Other
1530,72518.0,85298.0,YEAR,
1531,50000.0,50000.0,YEAR,8a
1532,110000.0,110000.0,YEAR,9
1533,37935.0,48075.0,YEAR,Foundation Doctor
1534,31998.0,50314.0,YEAR,
1535,44112.0,46096.0,YEAR,
1536,21853.0,21853.0,YEAR,
1537,34000.0,34000.0,YEAR,
1538,120.0,138.0,YEAR,Doctor - Other
1539,39251.0,49308.0,YEAR,Specialty Doctor
1540,79860.0,103490.0,YEAR,
1541,60000.0,60000.0,YEAR,Specialty Doctor
1542,48050.0,48050.0,YEAR,
1543,72333.0,72333.0,YEAR,
1544,350.0,350.0,YEAR,
1545,69716.0,86839.0,YEAR,
1546,35614.0,84780.0,YEAR,Doctor - Other
1547,31841.0,50068.0,YEAR,Foundation Doctor
1548,43612.0,43612.0,YEAR,Doctor - Other
1549,88104.0,91776.0,YEAR,
1550,46872.0,87408.0,YEAR,
1551,7466.0,40037.0,YEAR,Specialty Doctor
1552,27000.0,34000.0,YEAR,
1553,136161.0,136161.0,YEAR,Consultant
1554,31219.0,73195.0,YEAR,Doctor - Other
1555,42199.0,76823.0,YEAR,Specialty Registrar
1556,31841.0,56068.0,YEAR,Specialty Registrar
1557,24020.0,27022.0,YEAR,Foundation Doctor
1558,113030.0,135639.0,YEAR,Consultant
1559,30000.0,32000.0,YEAR,6
1560,49923.0,77264.0,YEAR,Specialty Registrar
1561,40000.0,45000.0,YEAR,Doctor - Other
1562,79860.0,82361.0,YEAR,Consultant
1563,88104.0,88104.0,YEAR,
1564,77779.0,100978.0,YEAR,Consultant
1565,118000.0,127000.0,YEAR,
